the pencil,карандаш,the pencil,1,къалам,2,къалам,2,къалам,2,къалам,2,къалам,2,къалам,2,къала,2,къала,2,,,къала,2,,,къалáм,2,къалам,2,къалам,2,къалам,2,къалам,2,karandaş,1,карандаш,1,къалам,2
the brick,кирпич,#N/A,1,кербеч,2,"кирпич, кербеч тоже говорят","1,2",кербеч,2,кирпич,1,кирпич,1,кирпич,1,кирпич,1,кипичи,3,,,кипичи,3,,,КИРПИЧ,1,кирпич,1,кирпич,1,кирпич,1,кирпич,1,kərpic,1,керпич,1,кирпич,1
the tobacco,табак,the tobacco,1,тамахьу,2,тамахьу,2,тамахьу,2,тамахьу,2,"къех1 то что сажают, тамахьу подтвердил","1,2","къех1 то что сажают, тамахьу подтвердил","1,2",тахьо,4,"хъалима сигарета, тахьо подтверджил",4,,,,,,,тамако,2,тамахьва,2,"паруз (папироса), тамахьо",2,тамахьв,2,тамахьв,2,tütün,6,тамакю,2,тамахьо,2
the towel,полотенце,the towel,1,0,,палатенце,1,палатенце,1,палатенце,1,палатенце,1,палатенце,1,палатенце,1,палатенце,1,палатенце,1,,,,,ПАЛАТИНЦ,1,палатенце,1,,,палатенце,1,палатенце,1,dəsmal,2,"чюй явлукъ, бет явлукъ","3,4","полотенце, гьумербацIцI","1,5"
the pepper,перец (черный),the pepper,1,пучч,2,почч (любой перец),2,перец,1,пуч,2,"подтверждает пучч на молотый перец, обычно рус",2,перец,1,перец,1,рус,1,,,,,,,"исибурат - красный, пуч - черный, пипил - красный стручковый","2,3",перец,1,,,"пуч, перец","1,2",перец,1,bibər,4,"бурч, жибижей, иссиот","5,6","пилпил, пучч","2,7"
the lion,лев,the lion,1,гъалбац1,2,гъалбац1,2,гъалбац1,2,гъалбац1,2,гъалбац1,2,гъалбац1,2,гъабац1е,2,подтвердил гъабац1е,2,,,,,,,ГЪÁЛБАЦI,2,гъалбац1,2,гъалбац1,2,гъалбац1,2,гъалбац1,2,aslan,3,"арсланкъаплан, арслан",3,гъалбацI,2
the number,"цифра, число",#N/A,1,тарих,2,тарих,2,,,не знаю,,не знаю,,тарих,2,тарихи,2,тариха,2,,,,,,,тарих,2,тарих (ав подтвердил),2,,,тарих,2,тарих,2,nömrə (число),3,"цифра, санав","1,4","число, рикIкIен","1,5"
the lamp or torch,"фонарик, лампа",#N/A,"1,2",панвар,1,чирахъ,3,чирахъ,3,чирахъ,3,"лампа, чирахъ","1,3","лампочка, чирахъ (это керосинка)","1,3",чирахъе,3,фанари,1,,,,,,,чирахъ,3,"фанарик, чирахъ","1,3",чирахъ,3,панар,1,панар,1,fənər (фонарь),1,лампа,2,"фонарь, чирахъ","1,3"
the week,неделя,the week,1,гьакьу,2,гьакьу,2,гьакьу,2,гьакьу,2,гьакьу,2,гьакьу,2,акьо,2,акьо,2,,,,,,,ГЬАКЬВ,2,"гьакь (семь), также расческа",2,,,"гьакь (семь), также расческа",2,"гьакь (семь), также расческа",2,həftə,3,жума,4,анкь,5
the glass,стекло,the glass,1,"лампа, мат1у","2,3",мат1у,3,мат1у,3,мат1у,3,мат1у,3,ц1ерда,4,жари,5,жари,5,,,,,,,ЛАПÁН,6,мат1в,7,мат1,7,мат1,7,мат1,7,şüşə,8,шиша,8,цIер (=также лёд); шиша,"4,8"
the rice,рис,the rice,1,пулав,2,пулав,2,пулав,2,пулав,2,пулав,2,рис,1,гьуло,3,гьуло,3,,,,,,,пулáв,2,рис,1,,,рис,1,не знаю,,düyü,4,дюгю,4,пиринчI,5
the cup,чашка,the cup,"1,2","ц1ц1аНт1ур, кь1елкь1а - деревянная","3,4",куружка,2,,,куружк1а,2,куружк1а,2,кружка,2,куружка,2,гурушка,2,,,,,,,0,,подтвердил,2,шот1а,5,"чашка, шот1а подтвердил","2,5",чашка,2,fincan,6,"чашка, пинжан","2,7","чашка, чай гьекъолеб суркIа",2
the bottle,бутылка,the bottle,1,шишав,2,шишав,2,шишав,2,шишав,2,шишав,2,шиша,2,,,шиша,2,шиша,2,,,,,шишá,2,шиша,2,шиша,2,шишва,2,шиша,2,şüşə,2,шиша,2,шиша,2
the pipe,трубка курительная,the pipe,1,0,,NA,,муштук,2,муштук,2,маршу,3,трубка,1,муштуки,2,?,,,,,,,,0,,муштук,2,,,муштук,2,павруз,4,boru,5,юлле,6,"цIулал хъалиян, хулхул хъалиян, трубка",7
the pocket,карман,the pocket,1,"кисай, чалта","2,3",второй (первое - карман на рубашке),3,чалта,3,чалта,3,чалта,3,чанта,3,таха,4,таха,4,,,таха,4,,,"кис}, чаНт}","2,5",талъа,6,талъа,6,талъа,6,талъа,6,ҹиб,7,кисе,2,"чванта, киса","2,3"
the colour/color,цвет,the colour/color,1,кьере,2,кьере,2,кьере,2,кьере,2,кьере,2,кьери,2,кьери,2,кьери,2,,,,,,,кьер,2,подтвержил,2,кьер,2,кьер,2,кьер,2,рəнҝ; чичəк; ҝүл,"3,4,5","тюс, ренк, бояв","6,7,8",кьер,2
the gun,ружьё,the gun,1,тупе,2,тупе,2,тупе,2,тупе,2,"ярагъ, тупе подтвердил","2,3",туманг,4,тугьи,5,тугьи,5,,,,,,,туп / туб,2,"таманча (пистолет), туп подтвердил","2,6",,,туманк1,7,туманк1,7,түфəнҝ,7,тюбек,8,туманкI,7
the copper,медь,the copper,1,"гьезе, пахьу","2,3","первое бронза, второе правильно",3,гьезе,2,"гьезе, пахьу","2,3","гьезе бронза, пахьу медь","2,3",палъи,4,гьач1а,5,подтвердил,5,,,,,,,пащ,6,пащ,6,,,паш,6,йез,7,мис,8,"багъыр, ез","9,10",пахь,3
the gold,золото,the gold,1,месед,2,месед,2,месет,2,месед,2,месет,2,мисид,2,мишиди,2,мишиди,2,,,подтвердил,2,,,месéр,2,месед,2,месед,2,месед,2,месед,2,гызыл,3,алтын,4,месед,2
the ball,"мяч, шар",the ball,"1,2",соло-соло,3,соло-соло,3,соло-соло,3,соло-соло,3,"со-соло, соло-соло",3,торг1у,4,гужила,5,гужила,5,,,,,,,квáтара,6,къат1ара,6,,,къат1ара,6,къат1ара,6,топ,7,топ,7,торгIо (мяч),8
the window,окно,the window,1,гьиНгвар,2,гьиНгвар,2,гьиНгвар,2,гьиНгвар,2,гьиНгвар,2,гьингур,2,иго,3,иго,3,,,,,,,гьýНгар,2,гьунга,2,,,гьунга,2,гьунга,2,пəнҹəрə; дəлик; дешик,"3,4,5",терезе,6,горду,7
the trousers,брюки,the trousers,1,шарбал,2,шарбал,2,шарбал,2,шарбал,2,шарбал,2,шалпар,2,,,бата,3,бата,3,,,,,бáта,3,барта,3,барта,3,барта,3,барта,3,шалвар,2,"шалбар, иштан","2,4","na, тIажу (штаны)",5
the chain,цепь,the chain,1,раххасс,2,раххас,2,раххасс,2,раххасс,2,раххасс,2,раххасс,2,рахаси,2,"цепи, рахаси подтвердил","1,2",,,,,,,лахáц,3,раххаз,2,рахаз,2,рахаз,2,рахаз,2,"zəncir (здесь был восклицательный знак, непонятно почему)",4,шынжыр,4,"рахас, синжир","2,4"
the fork,вилка,#N/A,1,маъа,2,маъа,2,маъа,2,маъа,2,маъа,2,г1анк1ва,3,шиши,4,,,,,"вилка, шиши","1,4",,,гIучI,5,к1аса,6,"вилка, к1аса - палка","1,6",вилка,1,"вилка, г1уч1","1,5",чəнҝəл,7,чиш,8,гIучI,5
the reindeer/caribou,олень,the reindeer/caribou,1,рит1уч1,2,чане (рит1уч1 с ветвистыми рогами),"2,3",чане,3,чане,3,чане,3,рит1уч1,2,чани,3,рит1уч1е,2,,,,,,,гъвáлчIа,4,чан,5,,,"рит1уч1 (с рогами), чан","2,5",рит1уч1,2,maral,6,къубагийик,7,ритIучI,2
the time,время,the time,1,"къару, заман, рег1а, ригьи, завал","2,3,4,5",замана,3,замана,3,замана,3,заман,3,замана,3,зама,3,зама,3,,,зама,3,,,"замáна, къар","3,6",заман,3,заман,3,заман,3,заман,3,"vaxt (здесь был восклицательный знак, непонятно почему)",7,"заман, вакъти, сагьат","7,8,9","заман, мех, гIуж","3,10,11"
the money,деньги,the money,1,"г1арсе, шагьи-кепек","2,3","г1арсе, шагьи-кепек","2,3","г1арсе, шагьи-кепек","2,3","г1арсе, шагьи-кепек","2,3","г1арсе, шагьи-кепек","2,3",г1арци,2,ачи,4,ачи,4,,,ачи,4,,,ас,5,ац,5,ац,5,ац,5,ац,5,pul,6,акъча,7,гIарац,8
the soup,суп,the soup,1,чорпа,2,чорпа,2,чорпа,2,чорпа,2,чорпа,2,чурпа,2,чупа,2,чупа,2,,,,,,,0,,чорпа,2,чурпа,2,чурпа,2,чурпа,2,şorbası,2,шорпа,2,чурпа,2
the lead,свинец (из чего пули),the lead,1,т1оше,2,т1оше,2,т1оше,2,т1оше,2,сомневается,,т1ухьи,3,т1оша,2,?,,,,,,,,тIощ,2,т1ош,2,,,т1ош,2,"чаран наверное, не различаю",4,qurğuşun,5,къоргъашын,5,тIухьи,3
the scythe,коса,the scythe,1,"ххарицен, хъашт1а","2,3",второе (первое - серп),3,хъашт1а,3,хъашт1а,3,хъашт1а,3,хъашта,3,хъадиро,4,хъалица (хъаНдиро - женский серп),2,,,,,,,харицел,2,халици,2,халици,2,халици,2,халици,2,na,,чалгъы,4,харицел,2
the sickle,серп,the sickle,1,,,не то что-то,,харицан,2,"харицел, харицан","2,3","харицел, харицан","2,3",хъандиру,4,хъадиро,5,хъадиро,5,,,,,,,нича,6,? не точно,,,,как коса?,,халици,2,oraq,7,оракъ,7,"нилъ, хъандиро","4,8"
the spectacles/glasses,очки,#N/A,1,гьарк1ай,2,гьарк1ай,2,"ачки, гьаркьай","1,2","ачки, гьаркьай","1,2",гьарк1ай,2,"очки, гьарк1еди","1,2",очки,1,очки,1,,,,,,,гьáчIа,3,"очки, мат1илъ гьач1и (зеркальные глаза)","1,3",,,гьач1и,3,гьач1и,3,eynək,4,гёзелдириклер,5,цIороберал,6
the paint,краска,the paint,1,лажбар,2,релъан (лажбар - это конкретно при ремонте),3,"краска, которой красим если - то лажбар",2,лажбар,2,краска,1,лажбар,2,"краска, лажиба тоже говорят","1,2",краска,1,,,,,,,ладжибáр,2,краска. нажбар,"1,2",нажбар,2,краска,1,краска,1,boya,4,"бояв, сыр","4,5","лажбар, релъен","2,6"
the prison,тюрьма,the prison,1,туснахъ,2,туснахъ,2,туснахъ,2,туснахъ,2,туснахъ,2,туснахъ,2,туснахъа,2,туснахъа,2,,,,,,,туснáхъ,2,туснахъ,2,туснахъ,2,туснахъ,2,турьма,1,həbsxana,3,"туснакъ, зиндан","2,4",туснахъ,2
the silver,серебро,the silver,1,г1арсе,2,г1арсе,2,г1арсе,2,"гьезе бронза, г1арсе серебро подтвержил",2,"гьезе бронза, г1арсе серебро подтвержил",2,г1арцци,2,ачи,3,ачи,3,,,,,,,ас,3,ац,3,,,ац,3,ац,3,gümüş,4,гюмюш,4,гIарац,5
the lock,замок (навесной),#N/A,1,маххе,2,маххе,2,маххе,2,маххе,2,маххе,2,рахе,3,рик1алълъли,4,рик1алълъли,4,,,рик1алълъли,4,,,рéкIул,5,к1уляр,6,к1улар,6,к1уляр,6,к1уляр,6,qala,7,кирит,8,"кIулал, кирит, рахай","6,8"
the mortar(2),известковый раствор,the mortar(2),1,гаче,2,гаче,2,гаче,2,гаче,2,гаче,2,гач билъилаледу,2,,,киражи,3,,,киражи,3,,,гарч / гач,2,гач,2,гач,2,гач,2,гач,2,minaatan,4,киречли сув,3,гачил раствор,2
the cross,крест,the cross,1,чаНчалик1,,NA (это крести в картах),,крест,1,чанчалик1 крести,,крест (чаНчалик1 - крести),1,хъанч,2,хъанч,2,"подтвердил, аварское",2,,,,,,,хъаНч,2,хъанч,2,хъанч,2,хъанч,2,хъанч,2,keçmək,3,хач,2,хъанч,2
the fist,кулак,the fist,1,зай,2,зай,2,зай,2,ззай,2,зай,2,зе,2,жари,3,жари,3,,,,,,,гьýнчIа,4,зай,2,зай,2,зай,2,зай,2,yumruq,5,юмурукъ,5,зар,2
the tiger,тигр,#N/A,1,ц1ц1иркъ,2,ц1ц1иркъ,2,ц1иркъ,2,ц1иркъ,2,ц1иркъ,2,не ц1иркъ - это рысь,,так же ка клев,3,,,,,,,,,0,,гьалбац1,4,ц1иркъ,2,ц1иркъ,2,ц1иркъ,2,pələng,5,"къаплан, тигр","6,1",цIиркъ,2
the scabies,чесотка,#N/A,1,хъашхъар,2,хъашахъар,2,хъашхъар,2,,,,,,,хъашда,3,хъашда,3,,,,,,,хъирис,4,ц1ин1ар,5,хъирис,4,хъирис,4,хъирис,4,keçəl,6,къычыв,6,хъирис,4
the joke,шутка,the joke,1,масхъара,2,масхъара,2,масхъара,2,масхъара,2,масхъара,2,масхъара,2,махсаро,2,махсара,2,,,,,,,масхъáра,2,масхара,2,махсара,2,махсара,2,махсаро,2,zarafat,3,"масхара, самаркъав","2,4",махсара,2
the spade,лопата,the spade,1,"квабахх (деревянная), беле (железная)","2,3",беле,3,белле,3,белле,3,беле,3,бел,3,по-русски,1,лопатка,1,,,,,,,"бегьýн - деревянная, рéхéн деревянная, бел - железная","4,5",бель,3,бель,3,бель,3,бель,3,kürümək,6,"бел, кюрек, лопата","3,6,1","бугьун, бел","3,4"
the scissors or shears,ножницы,the scissors or shears,1,к1ваНкьибди,2,к1ваНкьибди,2,к1ваНкьибди,2,к1ваНкьибди,2,к1ваНкьибди,2,к1ункьиби,3,квакьела,4,квакьела,4,,,,,,,къвáНкьа,2,къванкьила,2,,,къванкьила,2,къванкьила,2,qayçı,5,къайчы,5,кIвекьмахх,6
the blanket,одеяло,the blanket,1,"ургъан, адийал","1,2","первое (ватное толстое), адия","1,2",ургъан,2,ургъан,2,ургъан,2,"иргъан (стеганое, адияло","1,2",игъва,3,адия,1,,,,,,,"гьáго // гьáгва - из овчины, эргъвáн / иргъвáн — стёганое","2,3",эргъун,2,,,эргъун,2,эргъун,2,yorğan,2,"ювургъан, шаршав, тёшек шаршав","2,4,5","юргъан, одеял","1,2"
the fermented drink,буза,the fermented drink,1,ч1аг1а,2,ч1аг1а,2,"мед, ч1аг1а самогон","2,3","мед, ч1аг1а самогон","2,3",оба,4,ч1аг1а,2,,,чаг1а,2,ч1аг1а,2,,,,,0,,мед,3,мед,3,мед,3,не знаю,,gürültü,5,боза,1,чIагIа,2
the key,ключ,#N/A,1,рек1ул,2,рек1ул,2,рек1ул,2,рек1ул,2,рек1ул,2,рек1ул,2,рик1алълъли,3,рик1алълъли,3,,,рик1алълъли,3,,,рéкIул,2,рек1ум,2,рек1ум,2,рек1ум,2,рек1ум,2,açar,4,ачгъыч,5,кIул,6
the goose,гусь,the goose,1,хъаз,2,хъаз,2,хъаз,2,хъаз,2,хъаз,2,хъаза,2,хъази,2,хъази,2,,,хъази,2,,,хъаз,2,хъаз,2,неясно,,неясно,,неясно,,dərzi ütüsü,3,къаз,2,хъаз,2
the sea,море,the sea,1,релъа,2,релъа,2,"море, лъерса","1,3",релъа,2,релъа,2,релъа,2,ралъа,2,море,1,,,,,,,рéлгьа,2,0,,,,ралъа,2,ралъа,2,dəniz,4,денгиз,4,ралъад,2
the garden,сад,the garden,1,ахе,2,ахе,2,ахе,2,ахе,2,ахе,2,агьи,2,ахъи,2,ахъикьи,2,,,,,,,0,,ах,2,,,ах,2,агь,2,bağ,3,бав,3,ах,2
the duck,утка,the duck,1,ордок,2,ордок,2,ордок,2,ордок,2,ордок,2,урдык,2,,,бабуше,3,,,,,,,"бабýш, оьрдек - дикая","2,3",0,,хъаз,4,,,ордек,2,ördək,2,"оьрдек, бабиш","2,3",ордек,2
the arch,арка,the arch,1,к1амур,2,"сорер, кьиба","3,4",к1амур,2,к1амур,2,"гургин круглый буквально, к1амур подтверждает",2,акъва,5,,,к1аму,2,к1аму,2,,,,,кIáмур,2,к1авун,2,к1авун,2,к1авун,2,подтвердила,2,tağ,6,гюмез,7,NA,NA
the wheel,колесо,the wheel,1,диду,2,диду,2,диду,2,диду,2,диду,2,гури,3,к1илик1а,4,к1илик1а,4,,,к1илик1а,4,,,"гъáрбичо - у машины, чархъ / чахъ - на швейной машине","5,6",гиличо,7,гиличо,7,"гор круг, гиличо",7,гиличо,7,təkər,8,дёгерчик,9,"гьоко, гьакибер, чарх","10,11,12"
the grape,виноград,the grape,1,ц1ибил,2,ц1ибил,2,ц1ибил,2,ц1ибил,2,ц1ибил,2,ц1ебила,2,ахъи,3,ахъи,3,,,ахъи,3,,,"агь, къáра-цIибил, чóрма","2,4,5",ц1ибил,2,ц1ибил,2,ц1ибиль,2,ц1ибиль,2,üzüm,6,юзюм,6,цIибил,2
the hammer,молоток,the hammer,1,корт1а,2,корт1а,2,корт1а,2,корт1а,2,корт1а,2,корт1а,2,кот1а,2,кот1а,2,,,,,,,кóртI|,2,курт1а,2,,,курт1а,2,курт1а,2,çəkic,3,чёкюч,4,квартIа,2
the clan,"тухум, род",the clan,"1,2","тухум, гьекьебо","1,3",кьибил (корень),3,тухум,1,тухум,1,"тухум, кьибил подтверждает, тухум-кьибил родословная","1,3","тухум, кьибил тоже","1,3",кьибил,"1,3",г1агалъи (родственники),4,,,,,,,0,,кьибиль,3,кьибиль,3,тухум,1,тухум,1,tuhum,1,тухум,1,тухум,1
the poison,яд,the poison,1,загьру,2,загьру,2,загьру,2,загьру,2,загьру,2,загьру,2,загьиро,2,загьиро,2,,,,,,,зáгьру,2,загьру,2,загьру,2,загьру,2,загьру,2,zəhər,2,?,,загьру,2
the boundary,"граница, межа",the boundary,1,"г1орхъе, х1ат","2,3",первое,2,первое,2,первое,2,первое,2,г1орхъи,2,г1охъи,2,подтвердил,2,,,подтвердил,2,,,гIорхъи,2,г1орхъи,2,гьуа (г1орхъи - граница между селениями),"2,4",г1орхъи,2,г1орхъи,2,sərhəd,5,дазу,6,гIурхъи,2
the guard,"охрана, охранник, караульный (?)",#N/A,"1,2",хъаравуллер,2,ахрана,1,пропустили,,,,ц1иНер,3,сторож,4,ахира,5,ахра,1,,,,,,,"цIýнидар, ахрáн, хъарáв // хъарáвул","6,7,1",ахран,1,,,ахран,1,караул,2,müdafiə,8,къаравулчу,2,цIуни,3
the sledge/sled,санки,the sledge/sled,1,"артаНди, чанагъабди","2,3",первое,2,санкилди,1,санкибди,1,"санки, чагъан искусственно сделанный","1,3",чанагъ,3,чанагъа,3,санка,1,,,,,,,"гелегáби, чагъáна","3,4",чанах,5,,,чанагъ,3,чанагъ,3,na,,"чана, чаналар",3,гьитIинал чанагъал,3
the price,цена,the price,1,"багьа, къимйат","2,3",багьа,2,багьа,2,багьа,2,багьа,2,багьа,2,багьа,2,багьа,2,,,,,,,багьá,2,багьа,2,багьа,2,багьа,2,багьа,2,qiymət,3,"багьа, къыймат, гьакъ","2,3,4","багьа, къимат, мухь","2,3,5"
the saw,пила,the saw,1,ххердоб,2,ххердоб,2,ххердоб дала,2,ххердоб дала,2,ххердоб дала,2,хъухъаб диру,3,хъухъа диро,3,хъухъа диро,3,,,,,,,хъихъвáниб,4,хъохъодира,5,,,хъохъодира,5,хъохъодира,5,mişar,6,бычгъы,7,хъухъадиро,5
the medicine,лекарство,the medicine,1,дару,2,дару,2,дару,2,дару,2,дару,2,дару,2,дару,2,дару,2,,,,,,,"дармáн, дарý","2,3",дару,2,дару,2,дару,2,дару,2,tibb,4,дарман,3,"дару, дарман","2,3"
the potato,картошка,#N/A,1,"къеч1у, къоло","2,3",второе (первое слово - лепешка),3,къоло,3,къоло,3,къоло,3,картошка,1,къоле,3,катуши,4,,,катуши,4,,,гIурýскъол,5,г1урус къа,5,г1урус къа,5,г1урус къа,5,г1урус къол,5,kartof,1,"картоп, картошка",1,картошка,1
the family,семья,the family,1,"агьлу, куНт1а-гьарк1к1е, хъизам","2,3,4",хъизан,4,хъизам,4,хъизам,4,хъизам,4,хъизам,4,хъиза,4,хъиза,4,,,,,,,"кулпáт, хъизáн","4,5",хъизан,4,,,хъизам,4,хъизан,4,ailə,6,"уягьлю, агьлю",6,хъизан,4
