name,DAvar,DAzer,DGeorgian,DKumyk,DLezgian,DRussian,DRutul,Helmets_A,Helmets_M,Helmets_T,Ikhrek_A,Ikrek_J,Ikhrek_S,Ikhrek_Z,Khlut_A,Khlut_AM,Khlut_I,Khlut_S,Kiche_Sej,Kiche_Ser,Kina_M,Kina_MS,Kina_N,Mikik_A,Mikik_N,Rutul_V
the table,1,4 1,22,1,1,1,1,1,1,1,2,1 2,2,1 2,1,1,1,1,1,3,2,1,1 2,1,1,1
the paper,1,1,1,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the shop/store,1,3,22,1,1 3,3,1,3,1,3,1 3,1 2,1,1,1,1,1,1,1,1,1,NA,1,1 2 3,2 3,1
the school,2,1,2,1 2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the mule,21,1,22,1,1,4,1,1,1,1,1,1,1,1,1,1,NA,2 3,1,1,1,1,1,1,1,1
the oats,7,5,22,6 7,2,9,1,2,3,NA,2,NA,2,2,2,7,8,2,4,3,2,2,2,1,1,1
the pencil,1,2,22,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1 2,1,1,1,1,1,1,1,1
the turnip,22,2,22,3,3,7,NA,5,5,NA,1,1,1,1,6,6,NA,3 5,NA,NA,1,1,1,1,1,1
the tobacco,1,2,1,1,1,1,1,2,2,1,1,2,2,1 2,1,1,1,1,2,1,1 2,2,2,2,2,1
the towel,4 23,1,22,2 3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the pepper,3,2,22,1 3 4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the lion,21,1,22,1,1,4,1,3,1,1,1,1,1,1,4,1,3,1,1,3,2,1,1,2,1,1
the week,21,1,22,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the candle,21,1,22,3,1,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
the glass,2 21,2,22,2,2,4,1,1,1,1,1,1,1,1,1 3,3,3,3,1,1,1,1,1,1,1,1
the rice,2,1,2,1,1,3,NA,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
the cup,1,5,22,1 5,6,1,1,1,7,1,1,1,3,1,8,7,NA,1 3 6,1,1,1,4,1,1,1,2
the bottle,1,1,22,1,1,2,1,2,2,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1 2,2,1
the pipe,1 5,3,22,4,1,5,NA,1,NA,1,1,1,2,1,2,2,2,NA,1,1 2,1,1,1,2,1,1
the pocket,2 21,1,1,2,1,4,1 2 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the colour/color,21,1,22,1 3 4,1,5,1 2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1
the gun,1,1,NA,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
the copper,21,2,22,3 4,1,5,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1
the gold,21,1,22,2,2,3,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1
the ball,21,1,22,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the window,21,2 3 4,22,5,6,8,1,1,1,1,1,1,1,1,7,7,NA,7,1,1,1,1,1,1,1,1
the trousers,21,2,2,2 3,2,5,1,1,1,1,1,1,1,1,2,2,2,2 4,1,1,1,1,1,1,1,1
the chain,1 21,1,22,1,3,2,NA,1,NA,1,1,1,1,1,1,1,2,1,2,1,1,NA,1,1,1,1
the fork,21,1,1,3,4,2,1,6,2,6,1,1,1,1,5,5,NA,5,NA,NA,1,1,NA,7,7,2
the reindeer/caribou,21,1,22,5,6,7,1,1,7,1,1,1,1,3,2,6,NA,6,4,2,2 4,2,4,1,1,2
the time,3,1,22,1 2 6,7,8,1 2 3 4 5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the money,21,6,6,7,6,8,1 2,6,6,6,2,2,2,3,6,6,6,6,5,5,2,2,2 4,6,6,2
the soup,4,4,22,4,3 5,3,1,2,2,2,2,2,2,2,6,5 6,7,6,NA,3 4,2,2,2,2,2,1
the lead,21,1,22,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
the scythe,21,NA,22,3,2,5,1,4,4,4,1,1,1,1,2,2,NA,2,2,1,1,1,1,4,4,NA
the sickle,21,4,NA,4,5,7,1,1,1,1,2,1,2,2,6,6,NA,6,3,1,1,1,1,1,1,1
the paint,21,4,22,1 4,2,5,1 2,1 2,1,2,2,1,2,3,1,1,1,2,2,1,1,2,1,1,1,1 2
the prison,1,4,22,1 5,1,3,1,1 3,NA,3,1,1,1,1,1,1,1,1,1,3,1,1 2,1,1,1,1
the silver,21,1,22,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 2,2,1
the lock,4,3,22,4,5,7,1,1,NA,1,1,1,1,1,5 6,5,1,1,1,1,2,1,1,7,7,1
the mortar(2),21,2,NA,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 4,1,1
the cross,1,2,NA,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the fist,21,2,22,2,1,3,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
the joke,2,1,22,2 3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
the spade,1,5,22,1 4 6,1 2 7 8,4,1 2,6,4,6,3,3,3,3,1 4,1,4,1 4,4,1,1,1,1,6,6,1
the scissors or shears,21,1,22,1,1,4,1,3,3,3,1,1,1,1,2,2,2,2,2,2,1,1,1,3,3,1
the blanket,1 2,1,22,1 3 4,1,2,1 2,1 2,1,1,1,1,1,1,1,1,2,1,1 2,1 2,2,1,1,1,1 2,1
the fermented drink,21,4,NA,1,1,1,1 2,6,6,6,3,3,3,1 2,5,5,5,5,1,2,2,1 3,2,6,6,2
the goose,1,2,22,1,1,4,1,1,3,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,3,3,1
the sea,21,2,22,2,3,4,1,1,1,1,1,1,1,1,3,3,3,3,2,1,1,1,1,1,1,1
the garden,21,1,1,1,3,5,1,1,1,1,1,1,1,1,3,1 4,1,1,1,2,1,1,1,1,1,1
the duck,1,1,22,1 3,4,5,1,1,NA,1,1 2,1,1,1,1,1,NA,1,2,NA,1,1,1,2,1,1
the arch,21,3,3,4,NA,2,1,3,NA,2,3,2,1,3,1,1,2,1,1,1,1,1,1,NA,NA,1
the wheel,1,3,22,4,1,5,1,3,3,3,2,2,2,2,1,1,1,1,1,1,2,2,2,3,3,1
the grape,21,2,22,2,4,5,1 2 3,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1
the hammer,21,2,2,2,3,5,1,4,4,4,1,1,1,1,4,4,4,4,1,1,1,1,1,4,4,1
the clan,1,1,22,1,9,11,1 2 3 4,1,1 10,1,1,1,1 2,1 3,2 9,2,2,1,1,1,1 6 7,1 8,1 5,1,1,1 2
the poison,2,2,22,NA,1,3,1 2 3 4,2,2,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,1,1
the boundary,21,1,22,2,1 3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 5,6,1
the sledge/sled,6,NA,22,6,1,9,1,3,3,3,2,2,2,2,1,7,9,8,1,1,4,5,3,3,3,1
the price,1,1,22,1 2 3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the saw,21,1,22,4,1,5,1,2,2,2,2 3,2,3,2,1,1,NA,1,1,1,2 3,2,1 2 3,1 5,5,1
the medicine,1 21,3,22,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1 2
the family,1,3,22,3 4,2,5,1 2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
the bridge,21,2,22,2,3,7,1,5,6,6,1,1,1,1,4,4,NA,NA,1,1,1,1,1,6,6,1
the friend,21,2,22,1 2 3 5,3,6,1 2 3 4,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1 2,1,2,2,1
the nail,21,3,NA,4 5,1,6,1 2,1,1,1,1,1,1,1,1,1,4,1 4,1,1,1,1,1,2,2,1
the fork(2)/pitchfork,NA,4,22,5,6,7,1,4,4,4,2,2,2,2,6,6,NA,6,1,1,1,1 3,NA,8 4,8,1
the tongs,1,3,2,3 4,3 5,6,1 2,2,2,2,2,1,2,1,5,5,1,1,1,1,1 2,2,2,2,2,2
the pumpkin or squash,1,2,NA,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the spoon,21,2,22,2,1,4,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
the mirror,21,1,22,1,1,4,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
the drum,21,1,22,1 2,3,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1
the maize/corn,21,1,NA,3,4,2,1,1,1,1,1,1,1,1,2 4,2,NA,2,1,2,1,1,1,1,1,1
the felt,21,6,22,7,1,7,1,6,NA,1,1,1,1,1,NA,1,NA,1,5,4,2,3,1,8,6,1
the slave,21,1,22,1,1 2 5,6,1 2,1,1,1,3,1,1 3,1,2,2,2,2,2,2,4,1,2,NA,1,1
the needle(1),21,2,22,2,NA,4,1,3,3,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,3,3,1
the corpse,3,4,22,5 6,1,8,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,3,2,7,3 7,1
the work,21,3,22,3,1,4,1,3,3,3,2,2,2,2,NA,1,NA,1,1,1,1,1,1,3,3,1
the flour,21,3,22,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
the axe/ax,21,1,22,1,2,4,1,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,1,2,2,1
the cat,1,2,1,2,3,4,1,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,1,2,2,1
the wall,21,2,22,3 4,5,6,1,2,2,2,1,1,1,1,5,5,5,5,1,1,1,1,1,2 7,2,1
the cattle,21,1,NA,1,1,8,1 2,1,4,4,2 3,1 3,1 2 3,1 3,1 5,1,7,1 6,2,1,1,1,1,1,1 4,3
the debt,1,1,22,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the pig,21,1,22,1,2,4,1,2,2,2,1,1,1,1,2,2 3,2,2,1,1,1,1,1,2,2,1
the cock/rooster,21,2,22,3,4,5,1,1,1,1,1,1,1,1,4,4,NA,4,1,1,1,1,1,1,1,1
the belt,21,3,22,3 4,1,6,1,5,5,5,2,1,1,2,1,1,NA,1,1,1,1,1,1,5,5,1
the thread,21,2,22,3,4,6,1,5,5,5,1,1,1,1,4,4,4,4,1,1,1,1,1,2 5,2 5,1
the iron,21,2,22,2,3,5,1,4,1,4,1,1,1,1,3,3,3,3,1,1,1,NA,1,4,4,1
the wolf,21,2,NA,3,2,4,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1
the widow,21,4,22,4,2,7,1,5,5,5,3,3,3,3,6,2,2,2,2,2,2,2,2,5,5,2
the mushroom,21,5,22,6,7,9,1,8,8,8,2,2,2,3,4,4,NA,4,1,1,4,4,4,5,5,1
the voice,21,1,22,1 2 3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the guest,21,2,22,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the beak,21,3,22,4,1,5,1,2,2,2,1,1 2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
the wedding,21,2,22,2,3,6,1 2,1,1,1,1,1,1,1,2,2,NA,2 5,1,1,1,1,1,1,1,1
the spider,21,2,22,3,5,6,1,6,6,6,1,1,1,1,5,5,NA,5,1,1,1,1,1,7,7,1
the flower,6,2,22,3,4 5,7,1,6,6,6,1,1,1,1,5,5,NA,5,1,1,1,1,1,2 6,2 6,1
the scar,21,5,22,3,6,9,1 2 3,NA,NA,5,1,1,1,2,8,7,NA,1,1,4,1,1,4,5,5,1
the dust,21,2,22,3,1,4,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1
the lizard,21,4,22,5,6,9,1,8,8,8,2,2,2,2,7,7,NA,7,1,1,NA,3,1 3,10,10,1
the thing,21,2,22,3,2,4,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1
the boar,1,1,NA,1,3,1,1,1,1,3,2,2,2,1,3,1 3,3,3,2,1,2,1,2,1,1,1
the gate,NA,1,NA,2,4,5,1 2,1,5,5,1,1,1,1,1 3,1,3,3 4,1,1,1,3,1,1,1,1
the door or gate,21,2,22,3,1,5,1,4,4,4,1,1,1,1,1,1,NA,1,1,1,1,NA,1,4,4,1
the orphan,1,1,22,1 3,1,4,1 2,1,1,1,1,1,1,1,1,2,1,1 2,1,1,1,1,1,1,1,1
the frog,21,5,22,6,1,7,1,2,2,2,2,2,3,2,1,1,NA,1,1,1,4,1,1,5,5,1
the ring,21,5,22,5 6 7 8,1,11,1 2,9,10,10,2,1,2,1,1,1,NA,1,1,1,NA,4,3 4,10,10,1
the song,21,1,22,3 4,1 2 5,6,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
the bat,21,4,22,5 6,7,9,1,8,NA,8,2,NA,NA,2,1,1,NA,1,1,1,3,3,NA,10,11,NA
the earring,21,3,22,4 5,6,9,1 2,8,8,8,1,1,1,2,6 7,7,NA,7,2,2,1,2,2,10,8,1
the neighbour,21,1,22,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
the bracelet,21,6,22,6,7,2,1 2,8,10,9,3,1 3,4,NA,7,7,NA,7,NA,1,5,6,NA,8,NA,1
the clothing or clothes,21,2,22,3 4,2 5 6 7,9,1,2,8,2,1,1,1,1,7,7,7,2 7,1,1,1,1,1,2,2,1
the cave,21,6,22,7,8 9,12,NA,11,11,11,NA,NA,2,1,10,10,NA,6,NA,NA,4,5,3,11,11,NA
the body,2,3,21,4,2 3 4,5,NA,1 3,2,1,1,1,2,NA,1,1 3,1,1 2,3,2,3,3,1,2,1,1
the year,1,2,22,2,3,4,NA,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1
the broom,21,4,22,5,6,8,1 2 3,1,7,1,2,1,2,2,6,6,NA,6,1,1 2,2,2,1,7,7,2
the thief,21,5,22,6,5,7,1 2,6,6,6,3,2,3,2,3,3,5,3 7,3,NA,2,2 4,2,6,6,2
the beard,21,2,22,2,3,4,1,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,1,2,2,1
the comb,21,2,22,3,1 4,6,1,5,5,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,5,5,1
the lightning,21,3,22,4,1,7,1,3,6,5,2,1,1,3,1,1,NA,1,1,1,1,1,1,NA,3,1
the wasp,21,8,22,9,10,14,1,12,13,NA,3,2,5,4,11,11,NA,11,1,1,7,7,6,13,13,NA
the bow,21,NA,NA,3 4,NA,7,1,NA,NA,6,1,1,1 2,2,5,5,5,5,1,1,1,1,1,NA,1,NA
the owl,21,3,22,4 5,3,8,1,3,3,3,1,1,1,1,1,1,7,6,1,1,1,1,1,3,3,NA
the rope,21,7,22,8 9,10,14,1 2,13,13,13,1,1,1,3,11,11 12,NA,11 12,6,1,4,NA,4 5,7 13,13,3
the nettle,21,2,22,2,3,4,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,5,5,1
the fish,21,1,22,1,2 3,4,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
the hare,21,2,22,2 3,1,6,1,4,5,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,5,5,1
the butterfly,21,4,22,5,6,8,1 2,7,7,7,2,2,2,3,2,2,NA,6,NA,1,1,1,1,9,9,1
the footprint,21,5,22,6,7,9,1 2,8,8,8,1,1,NA,1,1,1,NA,1,1,4,3,1,1,8,8,1
the nest,21,5,22,5,6,8,NA,7,7,7,2,2,3,2,6,6,NA,6,1,4,4,NA,4,4,4,1
the worm,21,3,22,3,4,7,1 2,6,1,6,1,1,1,1,5,5,5,5,1,1,1,1,1,8,8,1
the ant,21,3,22,4,5,8,1,7,7,7,2,2,1,2,6,6,NA,6,1,1,1,1,1,3,3,1
the tail,21,2,22,2,3,5,1,4,4,4,1,1,1,1,3,3,3,3,1,1,1,1,1,4,4,1
the wing,21,1,22,1,3,4,1 2,1,1,1,1,1,1,1,3,3,NA,3,2,2,1,1,1,1,1,2
the shade or shadow,21,4,22,5,4,7,1 2 3,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
the grasshopper,21,3,22,3,NA,4,1,1,1,1,2,2,2,1,1,1,NA,1,1,1,1,1,1,1,1,NA
the beeswax,21,1,22,3,1,6,1,4,4,4,1,1,1,1,5,1,NA,5,1,1,2,1,1,4,4,NA
the sand,21,1,22,1 3,1,5,1 2,1,2,1,1,1,1,1,4,4,4,1,2,2,1,1,1 2,1,1,2
the blister,21,5,22,6,7,9,1,7,NA,7,3,3,3,3,7,7,NA,7,2,2,NA,2,4,10,10,2
the egg,21,2,22,3,4,6,NA,5,5,5,1,1,1,1,4,4,NA,4,1,1,1,1,1,5,5,1
the lip,21,3,22,4,2,5,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,6,6,1 2
the firewood,21,2,22,3,4,5,1,1,1,1,1,1,1,1,4,4,NA,4,1,1,1,1,1,1,1,1
the partridge,21,3,22,4,5,7,1,6,NA,6,2,1,1,1,5,5,NA,5,1,1,1,1,1,6,6,1
the sleeve,2,2,22,3,4,8,1,5,1,6,1,1,1,1,7,4,NA,4,1,1,1,1,1,1,1,1
