nr	name	russian translation	intersection	avar_standard_dictionary	andi_andi_dictionary	aa_source	andi_gagatli_dictionary	ag_source	andi_zilo1_2018_f_2002	az1_source	andi_zilo2_2017_m_mixed	az2_source	andi_rikvani_2017_m_1949	ar_source	botlikh_botlikh_mixed	bb_source	avar_kusur_2017_m_?	ak_source	azerbaijani_standard_dictionary	chechen_standard_dictionary	kumyk_standard_dictionary	doubtful
11	the plum	слива		кокó/н	кIкIуркIкIул	non loan	коком	turkic	коком	turkic	коком	turkic	коком	turkic	кокон	turkic	кулиеб	unidentified	ҝавалы	хьач	кокан	1
20	the shop/store	магазин	магазин	тукен		NA		NA		NA		NA		NA		NA	путкаб	unidentified				
74	the clan	тухум, род	род или тухум	тухум	тохум	arabic	тухум	arabic	тухум	arabic	тухум	arabic	тухум	arabic	тухум	arabic	тухум	arabic	tuhum	NA	тухум	1
61	the joke	шутка		махсара	масхъара	arabic	маскъгара	arabic	масхара	arabic	масхара	arabic	масхъара	arabic	масхъара	arabic	зарфат/зарпат(?)	arabic	zarafat	забар	масхара, самаркъав	
168	Sunday	воскресенье	воскресенье	гьатIан, гьатIанкъо	гьат1ан	avar	гьат1ан	avar	х1ат1ан	avar	базар	arabic	гьат1ан	avar	базарзив	arabic	базархъо	arabic	na	к1иранан де	къаттыгюн	
30	the week	неделя	неделя	анкь	гьокьу	non loan	гьокьу	non loan	гьокьу (еще рассческа)	non loan	гьокьу	non loan	гьокьу	non loan	гьакьу	non loan	бужмар (пятница)	arabic	həftə	к1ира	жума	
21	the school	школа	школа	школа	ушкул	russian	ушкол	russian	ушкул	russian	ушкул	russian	ушкул	russian	ушкол	russian	мактаб	arabic	məktəb	дешант, мадрас, мактаб	школа, мактап	
143	the rope	веревка		квар, батIаргьин, рухьен	рошан	non loan	рошан	non loan	рошон	non loan	рошон	non loan	NA	NA	нашар	non loan	рухьен	avar	kəndir	муш	йип, аркъан	
161	the firewood	дрова, топливо, древесина		NA	NA	NA	NA	NA	лъуди	non loan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
117	the scar	шрам, рана		ругънал (хутIараб) гIуж	NA	NA	рикъин	non loan	анжи	non loan	анжи	non loan	NA	NA	NA	NA	NA	NA	çapıq	мо	яра дамгъа	
139	the comb	гребень; расческа		гьоркьо (гребень)	гьокьу	non loan	гьокьу	non loan	гьокьу	non loan	гьокьу	non loan	NA	NA	гьакьу	non loan	NA	NA	yal	ехк	таракъ	
8	the carrot	морковь		ламáдур	мамадур	non loan	мамадур	non loan	мамат1ур	non loan	мамат1ур	non loan	NA	NA	ламат1ур	non loan	?	NA	yerkökü	ж1онка	чита	
156	the beeswax	воск (пчелиный)		найил хIе	NA	NA	щир	non loan	шир	non loan	щир	non loan	щир	non loan	(перулъи) щиру	non loan	NA	NA	mum	балоз	балавуз	
48	the time	время		заман, мех, гIуж	ригьи	non loan	ригьи	non loan	заман	arabic	ригьи	non loan	NA	NA	заман	arabic	мех	non loan	vaxt (здесь был восклицательный знак, непонятно почему)	хан	заман, вакъти, сагьат	
127	the song	песня	песня	кечI	кеч1и	avar	кеч1и	avar	кеч1и	avar	кеч1и	avar	кеч1	avar	кеч1и	avar	квейч	non loan	mahnı	илли, йиш, йир (не чеченская)	йыр, сарын	
134	the body	тело	тело		лага	avar	лага	avar	къаркъал	turkic	лага	avar	лага	avar	лага	avar	лага	non loan				
109	the widow	вдова	вдова	къоролай	серошк1ва	non loan	серешк1и	non loan	серо йошик1ва	non loan	серо йошик1ва	non loan	серешик1а (одна-женщина), серекьа (один-человек)	non loan	къоролай	avar	къоролай	non loan	dul	жеро	тул къатын	
137	the thief	вор	вор	цIогьор	лъомидо	non loan	лъомидо	non loan	лъомидо	non loan	лъомидо	non loan	лъо2йдо	non loan	ц1ц1огьор	avar	ц1огьорал	non loan	oğru	къу	уручу	
83	the friend	друг, приятель	друг, товарищ	гьудул	нокволл1о	non loan	ноколл1у	non loan	гьомологъи	non loan	гьомоллогъи	non loan	ноколл1у	non loan	гьудул	avar	гьудул	non loan	dost	Доттаг1	къурдаш, ёлдаш, ювукъ, дост ёлдаш	
22	the mule	мул	мул	гIорцIен	гъгъурц1им	non loan	къгурц1им	non loan	г1урц1им	non loan	г1урц1им	non loan	гурц1им	non loan	г1урц1ен	avar	г1урц1ен	non loan	qatır	б1арза	къачыр	
103	the pig	свинья	свинья	болъон	ххунт1а	non loan	хунт1а	non loan	хунт1а	non loan	хунт1а	non loan	хунт1а	non loan	болъон	avar	босон	non loan	donuz	хьакха	донгуз	
150	the worm	червяк	червь, червяк	хIутI, борохь, хIапара, къвекI	ц1ц1ал1иберча (дождевой червь)	non loan	жолка	non loan	жолка	non loan	жолка	non loan	жолка	non loan	х1апара	avar	бурух, х1ашбурух (х1аш = мусор)	non loan	qurd	н1аьна	хурт	
114	the wedding	свадьба		бертин	нусхъвор	non loan	бетен	avar	рехин	non loan	рехин	non loan	NA	NA	NA	NA	бетин	non loan	toy	ловзар	той	
116	the flower	цветок		тIегь	джинджи	non loan	джинджи	non loan	джинджи	non loan	джинджи	non loan	NA	NA	NA	NA	т1е	non loan	gül	лап	чечек	
90	the drum	барабан	барабан	къали	донгуди	non loan	къали	avar	къали	avar	къали	avar	къали	avar	дани	non loan	къили	non loan	nağara	вота	накъыра, барабан	
96	the work	работа		хIалтIи	гьалт1и	avar	къоро	non loan	х1алт1и	avar	х1алт1и	avar	NA	NA	муху	non loan	х1алт1и	non loan	iş	болх	иш	
53	the sickle	серп		нилъ, хъандиро	хъандиру	avar	хъандиро	avar	хъандиро	avar	NA	NA	NA	NA	акуранчи	non loan	нис	non loan	oraq	марс	оракъ	1
5	the pear	груша		хIанчI, ген/и	гьигьи	non loan	гьи2гьи2	non loan	гьи2гьи2	non loan	гьи2гьи2	non loan	NA	NA	гьи2гьу	non loan	гениб	non loan	армуд	хормат	гьармут	
94	the needle(1)	игла		рукIкIен	NA	NA	NA	NA	бежун	non loan	бежун	non loan	NA	NA	бежун	non loan	тüк1ен	non loan	iynə	маха	ине	kusur: turkic umlaut, but seems to be a native word
60	the fist	кулак		зар	за	non loan	за	non loan	за	non loan	за	non loan	NA	NA	зай	non loan	зор	non loan	yumruq	буй	юмурукъ	
82	the bridge	мост		кьо	кьиру	non loan	кьиру	non loan	кьир	non loan	кьир	non loan	NA	NA	кьири	non loan	ссо	non loan	körpü	т1ай	кёпюр	
79	the saw	пила		хъухъадиро	хъухъадир	non loan	хъухъадир	non loan	хъухъадир	non loan	хъухъадир	non loan	NA	NA	хъухъадир	non loan	хухадру	non loan	mişar	херх	бычгъы	
165	the chin	подбородок		нилъу	жуна	non loan	жуна	non loan	жуналл1и	non loan	жуна	non loan	NA	NA	жуна	non loan	чанаяб	non loan	buxaq	ч1ениг	сакъалтюп	
131	the bracelet	браслет		курхьин	кворкъин	non loan	кваркъин	non loan	браслет	russian	кверкъин	non loan	NA	NA	кваркъин	non loan	курхьин	non loan	bilərzik	х1оз	билезик	
104	the cock/rooster	петух		хIелеко	алкуци	non loan	алкуци	non loan	х1елеко	avar	х1елеко	avar	алкуци	non loan	кунт1а э2эчу	non loan	х1елеко	non loan	sik	борг1ал, н1аьна	хораз	
138	the beard	борода	борода	мегеж	мигажу	non loan	мигату	non loan	мигажу	non loan	мигажу	non loan	мигажу	non loan	мигужур	non loan	мегеж	non loan	saqqal	маж	сакъал	
120	the thing	вещь, предмет (вот эту вещь дай мне)	вещь, предмет	жо, предмет	дан	non loan	дан	non loan	дан	non loan	дан	non loan	дан	non loan	наа, нагъар	non loan	жо	non loan	şey	х1ума	зат	
72	the grape	виноград	виноград	цIибил	ч1ич1ил	non loan	ч1ич1ил	non loan	ч1ич1и	non loan	ч1ич1и	non loan	ч1ич1илол	non loan	к1ик1и	non loan	ц1ибил	non loan	üzüm	кемсаш	юзюм	
84	the nail	гвоздь	гвоздь	магI	гьамк1во	non loan	гьанк1о	non loan	гьанк1о	non loan	гьанк1о	non loan	гьанк1о	non loan	гьанк1ва	non loan	маг1	non loan	dırnaq	хьостам	мых, чюй	
149	the nest	гнездо	гнездо	хIанчIибусен	бешон	non loan	бешен	non loan	щикибол1и бешен	non loan	ц1ц1умол1и бешен, щекибул1и гьакъу	non loan	бешун (=кровать)	non loan	щикибалъи бешен (кровать для птиц)	non loan	бесен	non loan	уя?	бен	уя	
135	the year	год	год	сон, лъагIел	решин	non loan	решин	non loan	решин	non loan	решин	non loan	решин	non loan	реши	non loan	сон	non loan	il	шо	йыл	
112	the guest	гость		гьобол	NA	NA	ц1ц1е	non loan	ц1ц1е	non loan	ц1ц1е	non loan	ц1ц1е	non loan	ц1ц1е	non loan	гьубол	non loan	qonaq	хьаша	къонакъ	
49	the money	деньги	деньги	гIарац	орси	non loan	орси	non loan	орси	non loan	орси	non loan	орсси	non loan	арси	non loan	г1арац1	non loan	pul	ахч	акъча	
107	the iron	железо	железо	махх	ккуб	non loan	ккуб, ц1ец1и	non loan	ккуб	non loan	ккуб	non loan	ккуб	non loan	коби	non loan	мах	non loan	dəmir	эчиг	темир	
57	the lock	замок (навесной), ключ		кIулал, кирит, рахай	NA	NA	рек1улол	non loan	рек1ул	non loan	рек1ул	non loan	рек1улол	non loan	рек1ул	non loan	к1упул	non loan	qala	дог1а	кирит	
89	the mirror	зеркало	зеркало	матIу	мат1у	non loan	мат1у	non loan	мат1у	non loan	мат1о	non loan	гьинни гьалч1иня мат1у	non loan	мат1у	non loan	хинияб	non loan	güzgü	куьзга	гюзгю	
41	the gold	золото	золото	месед	мисиди	non loan	мисиди	non loan	мисиди	non loan	мисиди	non loan	мисиди	non loan	мисиди	non loan	месед	non loan	гызыл	деши	алтын	
14	the whip	кнут, хлыст (для лошади)		цIал	NA	NA	ч1ч1артил	non loan	ч1ч1артил	non loan	ч1ч1артил	non loan	ч1арт1ил	non loan	жваркьян	non loan	сал	non loan	чубуг; гамчы; гырманҹä	шед	къамучу	
144	the nettle	крапива	крапива	мичI	мич1ч1и	non loan	мич1ч1и	non loan	мич1ч1и	non loan	мич1ч1и	non loan	мич1ч1	non loan	бегьара	non loan	миж	non loan	gicitkən	NA	къычыткъан	
162	the partridge	куропатка		мокъокъ	гъвобгъво	non loan	гъобгъо	non loan	гъобгъо	non loan	гъобгъо	non loan	гъовгъо	non loan	гъабгъа	non loan	мукъокъ	non loan	kəklik	моша	къыр тавукъ	
128	the bat	летучая мышь		дергело, къохьолъалкIач	NA	NA	ххикри	non loan	лъалбот1и	non loan	лъалбот1и (днем слепой)	non loan	хакара (перен. о человеке, недостойный)	non loan	дергва	non loan	къехьу	non loan	yarasa	NA	гечекъуш, варканат	
88	the spoon	ложка	ложка	гъуд, балухъ, бугьун	арквом	non loan	арком	non loan	арком	non loan	арком	non loan	арком	non loan	гъеру	non loan	бугьун	non loan	qaşıq	1айг	къашыкъ	
125	the frog	лягушка	лягушка	къверкъ	къурру	non loan	къурру	non loan	къурру	non loan	къурру	non loan	къурру	non loan	къуркъу	non loan	къеркъ	non loan	qurbağa	пхьид	бакъа	
73	the hammer	молоток	молоток	квартIа	курт1а	non loan	курт1а	non loan	курт1а	non loan	курт1а	non loan	курт1а	non loan	кварт1а	non loan	култ1а	non loan	çəkic	ж1ов	чёкюч	
67	the sea	море	море	ралъад	релъо	non loan	релъо	non loan	релъо (озеро), море	non loan	релъо	non loan	рел1о (=ночь)	non loan	регьа	non loan	расад	non loan	dəniz	х1орд	денгиз	
97	the flour	мука (пшеничная)	мука	гIазаб, гIакъуба	ленщур	non loan	ленщур	non loan	энщур	non loan	енщур	non loan	къирл1 л*енщур	non loan	хъвахъу	non loan	г1ад	non loan	un	Дама	ун	
151	the ant	муравей	муравей	цIунцIра	лъанц1ц1и	non loan	лъанц1ц1и	non loan	лъанц1ц1и	non loan	лъанц1и	non loan	лъанц1	non loan	танц1ц1а	non loan	ц1унц1ура	non loan	qarışqa	зингат	къомурсгъа	
63	the scissors or shears	ножницы	ножницы	кIвекьмахх	исир	non loan	исир	non loan	исир	non loan	исир	non loan	иссир	non loan	к1ванкьибу	non loan	кесмах	non loan	qayçı	тукар	къайчы	
132	the clothing or clothes	одежда	одежда	ретIел-кун	ролал	non loan	ролал	non loan	роъол	non loan	роъол	non loan	рол*ал	non loan	раъалъи	non loan	рекьел	non loan	paltar	бедарш	опуракъ, гийим	
43	the window	окно	окно	горду	к1амур	avar	ингур	non loan	ингур	non loan	ингур	non loan	ингур	non loan	гьингур	non loan	горгъиб	non loan	пəнҹəрə; дəлик; дешик	кор	терезе	
118	the dust	пыль	пыль	хIур	кьехва	non loan	кьехва	non loan	кьехва	non loan	кьехва	non loan	кьехва	non loan	дада	non loan	х1ур	non loan	toz	чан	чанг	
166	the heel	пятка	пятка	эгъе (хIатIил эгъе), щватадул эгъе	мижа	non loan	мижа	non loan	мижа	non loan	мижа	non loan	мижа	non loan	щунк1а	non loan	эгъе	non loan	daban	к1ажа	табан	
129	the earring	серьга, сережка		кIилкIал (мн.ч)	гьант1ик1уч1усси	non loan	киц1у	non loan	киц1у	non loan	к1иц1убил	non loan	NA	non loan	къинкъил	non loan	к1илк1ал	non loan	küpe	NA	сыргъалар, гьалкъалар	
100	the wall	стена	стена	къед	къен	non loan	къен	non loan	къен	non loan	къен	non loan	къен	non loan	къинда	non loan	къе	non loan	divar	пен	там, чыр	
152	the tail	хвост	хвост	рачI	мигъерч1у	non loan	мигъерч1ч1у	non loan	могъорч1у	non loan	могъорч1у	non loan	мигъорч1у	non loan	мигъа	non loan	магъ	non loan	quyruq	ц1ога	къуйрукъ	
159	the egg	яйцо	яйцо	хоно	к1орк1он	non loan	к1орк1он	non loan	к1орк1он	non loan	к1орк1он	non loan	к1орк1рон	non loan	к1арк1ану	non loan	х1уно	non loan	yumurta	х1оа	йымырткъа	
133	the cave	пещера	пещера	нохъо	речIчIо	non loan	реч1ч1а	non loan	пещера	russian	реч1о	non loan	реч1ч1о	non loan	реч1ч1а	non loan	нохо	non loan	mağara	хьех	анакъ	
134	the body	тело	тело	черх, къаркъала	гумуги	non loan	къаркъала	turkic	лага	avar	къаркъала	turkic	къаркъала	turkic	къаркъала	turkic	черх	non loan	bədən	дег1	къаркъара	
121	the boar	кабан, боров, вепрь	кабан	хъабан болъон	ххунт1а	non loan	хъаман	turkic	кабан	russian	хъаман	turkic	къаман // къабан	turkic	хъапан	turkic	улх1ул босон	non loan	qaban	нал	къабан	
123	the door	дверь		нуцIа, рагьу	гьинц1ц1у	non loan	гьинц1ц1у	non loan	гьи2нц1у	non loan	гьинц1ц1у	non loan	NA	NA	NA	NA	нуса	non loan	qapı	ков	эшик	
108	the wolf	волк	волк	бацI		NA		NA		NA		NA		NA		NA	бац1	non loan				
56	the silver	серебро	серебро	гIарац		NA		NA		NA		NA		NA		NA	г1арац1	non loan				
108	the wolf	волк	волк	бацI	боц1о	non loan	боц1о	non loan	боц1о	non loan	боц1о	non loan	боц1ц1о	non loan	бац1а	non loan	джанвар	persian	canavar	борз	бёрю	
68	the garden	сад	сад	ах	охи	non loan	охи	non loan	ч1адил, охи	non loan	охи	non loan	охи	non loan	ахи	non loan	багъиб	persian	bağ	беш	бав	
38	the colour/color	цвет	цвет	кьер	босо	non loan	босо	non loan	босо	non loan	босо	non loan	босо	non loan	кьери	non loan	ранг	persian	рəнҝ; чичəк; ҝүл	буос	тюс, ренк, бояв	
19	the paper	бумага	бумага	кагъат	кагъар	persian	кагъар	persian	кагъар	persian	кагъар	persian	кагъар	persian	кагъат	persian	кагъат	persian	kağız	кехат	къагъыз	
35	the bottle	бутылка	бутылка	шиша	шиша	persian	шиша	persian	шиша	persian	шиша	persian	шиша	persian	шиша	persian	шуша	persian	şüşə	шиша	шиша	
80	the medicine	лекарство	лекарство	дару, дарман	дару, дарман	persian	дару	persian	дару	persian	дару	persian	дару	persian	дару	persian	дарман	persian	tibb	молха	дарман	
75	the poison	яд	яд	загьру	загьру	persian	загьру	persian	загьру	persian	загьру	persian	загьру	persian	загьру	persian	загьру	persian	zəhər	д1овш	?	
15	the sugar	сахар	сахар	чакар	чакар	persian	чакар	persian	писок	russian	чакар	persian	чакар	persian	чакар	persian	чикар	persian	шəкəр; гəнд	шекар	шекер	
33	the rice	рис	рис	пиринчI	пиринч1и	avar	пиринч1и	persian	пулав	unidentified	пулав	unidentified	пиринч1ч1	persian	поло	unidentified	пиринч1	persian	düyü	дуга	дюгю	1
3	the bucket	ведро		ведро	челеки	turkic	челеки	turkic	челеки	turkic	челеки	turkic	челек	turkic	NA	unidentified	ведра	russian	ведрə	чийлик	педире, челек	
65	the fermented drink	буза		чIагIа	ч1аъа	avar	NA	NA	NA	NA	ч1ач1а	unidentified	чаъа	avar	ч1аг1а	avar	буза	russian	gürültü	(ячменный) ко; (просяной) мохса	боза	
70	the arch	арка	арка	кIамури, гъапу	к1амур (также окно)	avar	к1к1амур	avar	к1к1амур	avar	к1к1амур	avar	к1к1ара	avar	к1к1амур	avar	арка	russian	tağ	нартол	гюмез	
77	the sledge/sled	санки		гьитIинал чанагъал	NA	NA	чанагъи	avar	чанагъобил	avar	чанагъи	avar	чанагъ	avar	чагъана	avar	санка	russian	na	салаз	чана, чаналар	
54	the paint	краска	краска	лажбар, релъен	лажбар	avar	босор	non loan	краска	russian	лажбар	avar	лажбар	avar	лажбар	avar	краска	russian	boya	басар, сир	бояв, сыр	
4	the pea	горох		хIéгьоло	гьоли	non loan	гьоли	non loan	горох	non loan	гьоли	non loan	гьолил (бобовые, фасоль, и тд, конкретно горох = горох)	non loan	гьали (общ. бобы, фасоль)	non loan	горох	russian	нохуд	кхоьш	нохут	
55	the prison	тюрьма	тюрьма	туснахъ	туснахъи	persian	туснахъи	persian	туснахъ	persian	туснахъ	persian	туснахъ	persian	туснахъ	persian	тюрма	russian	həbsxana	набахте	туснакъ, зиндан	
18	the table	стол	стол	стол	уст1ол	russian	уст1ол	russian	устул	russian	устул	russian	уст1ул	russian	устур	russian	стол	russian	маса; RUS	Оьшна, ховшаг, шун	стол	
2	the barrel	бочка		чирмá	NA	NA	щалеги	NA	шалеги	turkic	ведра	russian	бочка	russian	видра	russian	бочка	russian	данышмаг	черма	ведро	
64	the blanket	одеяло	одеяло	юргъан, одеял	йургъан	turkic	йургъан	turkic	йоргъан	turkic	NA	NA	йургъан (ватное одеяло) 	turkic	адийал	russian	адиял	russian	yorğan	одеял	ювургъан, шаршав, тёшек шаршав	
31	the candle	свеча		хIедучирахъ, нахучирахъ	NA	NA	чирахъи (лампа)	turkic	свеча	russian	NA	NA	ширл1 чирахъ	turkic	х1идул чирахъ 	turkic	свеча	russian	şam	ч1урам	майчыракъ	
20	the shop/store	магазин	магазин	тукен	тукан	turkic	тукан	turkic	тукен	turkic	тукен	turkic	тукен	turkic	тукан	turkic	магазин	russian	mağaza	туька	тюкен	1
13	the rosary	четки		ч1умал	ссалатол	unidentified	ссалатол	unidentified	сайлатол	unidentified	сайлатол	unidentified	салатол	unidentified	ссаламатабалъи	unidentified	субх1ани	turkic	təsbeh	суьлхьанаш	зувгьанлар, тасбигьлер	1
17	the wine	вино	вино	чагъир, жа / простор. разг. (водка) гIаракъи	ч1ач1а (виноградная водка)	unidentified	чагъир	turkic	аракъи	turkic	чаг1а	chechen	чагъир	turkic	жана	unidentified	чигъир	turkic	шəраб; чахыр	чаг1ар	чагъыр (виноградное), гьаракъы (самогон)	1
102	the debt	долг (денежный)	долг	налъи, борч, тIадаб жо, гьабизе тIадаб иш, къарз	налъи	avar	налъи	avar	налъи	avar	налъи	avar	налъи	avar	налъи	avar	бурдж	turkic	borc	юхалург	борч	
58	the mortar(2)	известковый раствор		гачил раствор	NA	NA	гачи	avar	гачи	avar	гачи	avar	бергъолъиб гач (разведенный извест)	avar	гачилъи лълъени	avar	кирадж	turkic	minaatan	кир	киречли сув	
29	the lion	лев	лев	гъалбацI	гъалбац1и	avar	гъалбац1и	avar	ц1иркъи (тигр), гъалбац1	avar	гъалбац1ц1и	avar	гъалбац1	avar	гъалбац1	avar	аслан	turkic	aslan	лом	арсланкъаплан, арслан	
81	the family	семья	семья	хъизан	хъизан	avar	хъизан	avar	хъизан	avar	хъизан	avar	хъизан	avar	хъизан	avar	агьло	turkic	ailə	доьзал	уягьлю, агьлю	
45	the chain	цепь	цепь	рахас, синжир	раххасси	avar	раххасси	avar	рахаси	avar	рахаси	avar	раххас	avar	раххас	avar	зинджир	turkic	zəncir (здесь был восклицательный знак, непонятно почему)	з1е	шынжыр	
142	the owl	сова	сова	руз	гиггу	non loan	бугьу	non loan	руз	avar	лъалбот1и (также летучая мышь), бугьу	non loan	руз	avar	руз	avar	байкъуш	turkic	bayquş	бух1а	кикимав, обуръябалакъ	1
76	the boundary	граница, межа	граница, межа	гIурхъи	орхъи (граница)	avar	дазу	turkic	дазу	turkic	дазу	turkic	орхъи	avar	раг1а-ракьанлъи (начало-конец)	avar	сагьрат	turkic	sərhəd	доза	дазу	1
130	the neighbour	сосед		мадугьал, аскIов гIодов чIарав чи	мадугьал	avar	мадугьал	avar	мадугьал	avar	мадугьал	avar	NA	NA	мадухал	avar	хъунши	turkic	qonşu	лулахо	хоншу	
124	the orphan	сирота	сирота	бесдал лъимер	бесдал	avar	бесдал	avar	бесдал	avar	бесдал	avar	бесдал	avar	игьаду	non loan	йитим	turkic	yetim	бо	етим, оьксюз	
91	the maize/corn	кукуруза		цIоросаролъ	гьеч1инк1а	chechen	гьеджинк1а	chechen	х1еч1инк1а	chechen	х1еч1ч1инк1а	chechen	NA	NA	цIебекъеру	non loan	къурдалиб	turkic	qarğıdalı	хьаьжк1а	гьабижай	1
46	the fork	вилка (которой кушают)		гIучI	ц1умур	non loan	ц1умур	non loan	ц1умур	non loan	ц1умур	non loan	NA	NA	кьибтIа	non loan	яба	turkic	чəнҝəл	м1ара	чиш	
85	the fork(2)/pitchfork	вилы (сена)		NA	к1онкьа	non loan	к1онкьа	non loan	к1венкьа	non loan	к1венкьа (вилка)	non loan	NA	NA	к1ванкьа	non loan	яба	turkic	yaba	шада	сенек	
140	the lightning	молния		пири (тIабигIияб)	пири	avar	суннир	non loan	пири	non loan	пири	non loan	NA	NA	пири	non loan	илдирим	turkic	ildırım	ткъес	яшмын	
154	the shade or shadow	тень		рагIад	анччу	non loan	анччу	non loan	анччу	non loan	анччу	non loan	NA	NA	анччу	non loan	кулга	turkic	kölgə	1индаг1	гёлентки	
111	the voice	голос		гьаракь	NA	NA	лъоч1ч1у	non loan	лъоч1ч1у	non loan	лъоч1у	non loan	лъоч1ч1у	non loan	гьач1ч1у	non loan	сас (=звук)	turkic	səs	аз	тавуш, аваз, сес	
